title,average Rating,num Votes
Power Rangers Mystic Force,6.7,2456
Pulang,6.7,573
Pyaar Ke Side Effects,6.7,3074
Rachel Getting Married,6.7,48122
Ram Teri Ganga Maili,6.7,985
Ramen Shop,6.7,1758
Ramji Londonwaley,6.7,1091
Roberto Saviano: Writing Under Police Protection,6.7,152
Rory Scovel Tries Stand-Up for the First Time,6.7,783
Si Doel the Movie 3,6.7,120
Social Distance,6.7,24
Something's Gotta Give,6.7,115249
Styling Hollywood,6.7,324
Susanne Bartsch: On Top,6.7,177
Taal,6.7,5171
Tallulah,6.7,19268
Tee Shot: Ariya Jutanugarn,6.7,55
The Brave One,6.7,59705
The Company Men,6.7,44439
The Great Raid,6.7,21505
The Kindergarten Teacher,6.7,14011
The Legend of 420,6.7,440
The Letter Reader,6.7,85
The Matrix Revolutions,6.7,461065
The Pirates! Band of Misfits,6.7,46239
The Salvation,6.7,37615
This Is Not What I Expected,6.7,1473
Tony Robbins: I Am Not Your Guru,6.7,4156
Torbaaz,6.7,6320
Tree Man,6.7,87
Ujala,6.7,72
Upstarts,6.7,767
Waiting...,6.7,93253
Why Are We Getting So Fat?,6.7,43
Wish I Was Here,6.7,37387
Wyatt Earp,6.7,47264
You vs. Wild,6.7,2347
100% Halal,6.8,47
50 First Dates,6.8,336530
7 Days Out,6.8,474
A Futile and Stupid Gesture,6.8,14735
Afonso Padilha: Classless,6.8,155
All Dogs Go to Heaven,6.8,39131
Almost Happy,6.8,632
Bangkok Buddies,6.8,15
Bangkok Love Stories: Innocence,6.8,168
Barah Aana,6.8,1188
Behind the Curtain: Todrick Hall,6.8,300
Bigflo & Oli: Hip Hop Frenzy,6.8,104
Biohackers,6.8,7695
Bleed for This,6.8,26058
"Breakfast, Lunch & Dinner",6.8,941
Cabins in the Wild with Dick Strawbridge,6.8,244
Cannon Busters,6.8,1057
Chappie,6.8,236445
Chup Chup Ke,6.8,9548
D.L. Hughley: Clear,6.8,234
David Foster: Off the Record,6.8,454
Death to 2020,6.8,34752
Don't Crack Under Pressure II,6.8,122
Drug Squad: Costa del Sol,6.8,489
Dying to Tell,6.8,313
Edge of Seventeen,6.8,6114
Edoardo Ferrario: Temi Caldi,6.8,114
El sendero de la anaconda,6.8,245
Encounters with Evil,6.8,89
GIMS: On the Record,6.8,181
Goon,6.8,85165
Hasee Toh Phasee,6.8,14194
Hellboy,6.8,313404
Hera Pheri,6.8,1014
History 101,6.8,3583
Hook,6.8,241363
Huge in France,6.8,2606
It Takes a Man and a Woman,6.8,347
Jersey Boys,6.8,33689
Jim Norton: Mouthful of Shame,6.8,1273
Jimmy: The True Story of a True Idiot,6.8,66
Jonaki,6.8,228
"Justice, My Foot!",6.8,2587
Kaalia,6.8,1460
Kabaneri of the Iron Fortress: The Battle of Unato,6.8,932
Katherine Ryan: Glitter Room,6.8,1660
Kevin Hart: Let Me Explain,6.8,8756
Kicking and Screaming,6.8,12837
Leap!,6.8,20863
Logan's Run,6.8,53517
Marc Maron: End Times Fun,6.8,1725
Mary and the Witch's Flower,6.8,13060
Mary Kom,6.8,10273
Matichya Chuli,6.8,115
Melvin Goes to Dinner,6.8,3024
Middle Men,6.8,37085
Monster High: New Ghoul at School,6.8,498
Mr. Peabody & Sherman,6.8,65169
Must Be... Love,6.8,486
Muzaffarnagar Baaqi Hai,6.8,86
My Amnesia Girl,6.8,417
Mythomaniac,6.8,850
Neevevaro,6.8,741
Nila,6.8,256
Oktoberfest: Beer & Blood,6.8,1812
Our Godfather,6.8,1453
Our Shining Days,6.8,629
Out of Life,6.8,318
Paskal,6.8,2862
Patton Oswalt: Talking for Clapping,6.8,1901
Planet Hulk,6.8,12600
Poshter Girl,6.8,305
Psiconautas,6.8,136
Q Ball,6.8,624
Rocky III,6.8,179888
Rumble in the Bronx,6.8,40441
Saheb Biwi Aur Gangster Returns,6.8,3906
Sand Storm,6.8,3320
Saving Capitalism,6.8,2946
Serious Men,6.8,6657
Shepherds and Butchers,6.8,3161
SHOT! The Psycho-Spiritual Mantra of Rock,6.8,721
Shubh Aarambh,6.8,111
Singham,6.8,15090
Sirius the Jaeger,6.8,1565
Sister Cities,6.8,1402
Sparkle,6.8,1554
Stonehearst Asylum,6.8,53601
Tanu Weds Manu,6.8,14040
Teach Us All,6.8,105
The American President,6.8,54642
The Exception,6.8,12090
The Expanding Universe of Ashley Garcia,6.8,982
The Forest of Love: Deep Cut,6.8,320
The Fury of a Patient Man,6.8,11273
The Imaginarium of Doctor Parnassus,6.8,146244
The Jane Austen Book Club,6.8,26699
The Lake House,6.8,143775
The Mask of Zorro,6.8,174055
The Original Kings of Comedy,6.8,5605
The Queen and the Conqueror,6.8,138
The Who Was? Show,6.8,565
Theo Who Lived,6.8,113
Thorne: Sleepyhead,6.8,2842
Toc Toc,6.8,16289
Todd Barry: Spicy Honey,6.8,789
Too Handsome to Handle,6.8,436
Too Young the Hero,6.8,466
Voulez-vous rire avec moi ce soir?,6.8,40
Yes Man,6.8,344524
Young Wallander,6.8,7320
#FriendButMarried 2,6.9,244
Agent Raghav,6.9,97
Ajji,6.9,1024
AK vs AK,6.9,12880
An American Tail,6.9,50539
And Breathe Normally,6.9,2692
Aussie Gold Hunters,6.9,312
Barcelona: A Love Untold,6.9,712
Bard of Blood,6.9,11767
Black '47,6.9,11103
Bulbul Can Sing,6.9,338
Cloudy with a Chance of Meatballs,6.9,213857
Control Z,6.9,6045
Criminal: Spain,6.9,3693
Dil Dhadakne Do,6.9,16104
Dries,6.9,357
Duniya,6.9,222
El fin de ETA,6.9,412
Fortune Feimster: Sweet & Salty,6.9,799
Free State of Jones,6.9,55016
Fukrey,6.9,10980
Funan,6.9,845
Ghost of the Mountains,6.9,237
Good Hair,6.9,5799
I Am Not Madame Bovary,6.9,2092
Iliza Shlesinger: Freezing Hot,6.9,2439
Jack Whitehall: At Large,6.9,1912
Jeff Dunham: Beside Himself,6.9,991
Junebug,6.9,22519
Kalakalappu,6.9,1209
Kingpin,6.9,79848
La Bamba,6.9,31441
Laerte-se,6.9,665
Legend of the Guardians: The Owls of Ga'Hoole,6.9,80297
Legendary Weapons of China,6.9,1548
Love for Sale 2,6.9,496
Love on Delivery,6.9,3016
Mad Max,6.9,197149
Mercury 13,6.9,1068
Mighty Little Bheem: Festival of Colors,6.9,36
Molly's Game,6.9,10
Monster High: Escape from Skull Shores,6.9,518
Monster High: Freaky Fusion,6.9,603
Murder Mountain,6.9,2797
My Girl,6.9,75368
My Only Love Song,6.9,565
My Week with Marilyn,6.9,84869
National Treasure,6.9,312930
Ocean's Thirteen,6.9,329700
Odu Raja Odu,6.9,93
Our Souls at Night,6.9,12389
Patriot Games,6.9,106577
Pineapple Express,6.9,323547
Pop Team Epic,6.9,693
Power Rangers Lost Galaxy,6.9,2196
Quigley Down Under,6.9,21009
Raiders!: The Story of the Greatest Fan Film Ever Made,6.9,2100
Rocky IV,6.9,193091
Sakhi,6.9,35
Secrets of Underground London,6.9,349
"Sex, Explained",6.9,2788
Slow West,6.9,43990
Solo: A Star Wars Story,6.9,308619
Sommore: The Reign Continues,6.9,72
StarBeam,6.9,74
Step Brothers,6.9,276023
Stripes,6.9,68310
Sword Art Online Alternative: Gun Gale Online,6.9,1861
Talentime,6.9,189
Tarek's Situation,6.9,3051
The Body Remembers When the World Broke Open,6.9,636
The Book of Eli,6.9,301364
The Bride of Habaek,6.9,1936
The Cabin with Bert Kreischer,6.9,1421
The Highwaymen,6.9,81966
The President's Barber,6.9,933
The Royal Bengal Tiger,6.9,818
The Stanford Prison Experiment,6.9,40186
Tokyo Idols,6.9,1179
Triad Princess,6.9,527
True: Friendship Day,6.9,16
Under the Shadow,6.9,25708
Varane Avashyamund,6.9,2257
Vikings Unearthed,6.9,94
Voices of Fire,6.9,346
Warrior Nun,6.9,24672
We the Animals,6.9,4037
Welcome to Sajjanpur,6.9,3146
White Rabbit Project,6.9,1601
42 Grams,7,388
9 Months That Made You,7,69
A Most Violent Year,7,68650
Angela's Christmas Wish,7,1093
Austin Powers: International Man of Mystery,7,228211
Basic Instinct,7,187217
Beauty & the Beast,7,5
Becoming Jane,7,59574
Boyka: Undisputed,7,26903
Brown Nation,7,684
Buddi,7,49
Bwakaw,7,264
Can We Get Married?,7,102
Carmen Sandiego: To Steal or Not to Steal,7,635
Chaman Bahaar,7,6079
Chandani: The Daughter of the Elephant Whisperer,7,41
Chelsea Peretti: One of the Greats,7,2286
Colours of Passion,7,1857
Dragons: Dawn of the Dragon Racers,7,2294
Dukhtar,7,2334
Easy A,7,369633
Elevator Baby,7,66
Emily in Paris,7,56093
Emma' (Mother),7,133
Engineering Girls,7,1274
Fallen,7,78263
Fisherman's Friends,7,7685
Flash of Genius,7,16736
Franco Escamilla: Por la anécdota,7,271
Frank and Cindy,7,315
Gabby's Dollhouse,7,179
Gaga: Five Foot Two,7,12187
Girlboss,7,16350
God Eater,7,1711
Gook,7,2388
Grandmaster,7,2042
Great News,7,5993
Haani,7,135
Haapus,7,119
Happy Jail,7,238
Harold & Kumar Go to White Castle,7,187535
He Named Me Malala,7,4566
How to Fix a Drug Scandal,7,2710
Hulk Vs.,7,11992
Hunt for the Wilderpeople,7,8
Hunterrr,7,5885
Ip Man 4: The Finale,7,27870
Jack and the Cuckoo-Clock Heart,7,6459
Jagat,7,153
Janaan,7,1441
Jerry Before Seinfeld,7,5433
Jesus: Countdown to Calvary,7,106
Julie & Julia,7,112182
Kay Dyache Bola,7,223
Kid-E-Cats,7,71
Kulipari: An Army of Frogs,7,237
Le K Benzema,7,558
Levius,7,446
Lo and Behold: Reveries of the Connected World,7,12361
Los Tigres del Norte at Folsom Prison,7,159
Ma Rainey's Black Bottom,7,45105
Main Hoon Na,7,33585
Mark Gatiss: A Study in Sherlock,7,11
Mayday Life,7,107
Mirai,7,13768
Miss Virginia,7,633
"Monster High: Scaris, City of Frights",7,490
National Parks Adventure,7,958
ParaNorman,7,96979
Pardes,7,14186
Party Monster: Scratching the Surface,7,1111
Power Rangers Time Force,7,80
Quién te cantará,7,2688
Ratched,7,126
Real Steel,7,307424
ReMastered: Devil at the Crossroads,7,2467
ReMastered: The Miami Showband Massacre,7,1179
Rocko's Modern Life: Static Cling,7,3645
Ronnie Coleman: The King,7,3214
Room 2806: The Accusation,7,2051
Roonpi Secret Love,7,26
Rose Island,7,16248
Safety Not Guaranteed,7,123079
Sarivar Sari,7,41
Seoul Searching,7,1548
Si Doel the Movie 2,7,173
"Sincerely Yours, Dhaka",7,596
Soul Surfer,7,47305
Swiss Army Man,7,109917
Take My Brother Away,7,146
The Bye Bye Man,7,8
The Great Hack,7,21835
The Last Boy Scout,7,96070
The Sapphires,7,13927
The Water Diviner,7,73184
Tidelands,7,7134
"Trikal (Past, Present, Future)",7,261
Under the Bombs,7,1560
Unexpectedly Yours,7,160
Unit 42,7,2008
Verses of Love,7,1086
Whisky,7,5971
Wish Man,7,2359
YG Future Strategy Office,7,196
Zenda,7,421
3 Seconds Divorce,7.1,52
5 to 7,7.1,19530
A Heavy Heart,7.1,714
A Kid from Coney Island,7.1,456
Aashayein,7.1,1283
About a Boy,7.1,177871
Adam: His Song Continues,7.1,198
Amit Tandon: Family Tandoncies,7.1,201
Arthur Christmas,7.1,54176
Ave Maryam,7.1,439
Balto,7.1,41272
Bangkok Love Stories: Plead,7.1,43
Battlefish,7.1,388
Baxu and the Giants,7.1,53
Bert Kreischer: Hey Big Boy,7.1,1708
Black Mirror: Bandersnatch,7.1,118346
Blue Ruin,7.1,69951
Bogda,7.1,50
Brother in Love,7.1,4852
Carmel: Who Killed Maria Marta?,7.1,2007
Charlie's Colorforms City,7.1,125
Chris Rock Total Blackout: The Tamborine Extended Cut,7.1,137
Dance Dreams: Hot Chocolate Nutcracker,7.1,279
Defying the Nazis: The Sharps' War,7.1,555
Derren Brown: Sacrifice,7.1,1713
Don 2,7.1,50857
E-Team,7.1,832
Eeda,7.1,554
Four Weddings and a Funeral,7.1,144420
Freeway: Crack in the System,7.1,843
Gigantosaurus,7.1,128
Handsome Devil,7.1,12286
Hidden Worlds,7.1,478
Ho Mann Jahaan,7.1,1803
I Am Bolt,7.1,3293
Iverson,7.1,3880
Jalpari: The Desert Mermaid,7.1,383
Jeff Dunham: Minding the Monsters,7.1,1361
Jeffrey Epstein: Filthy Rich,7.1,20050
Jim Gaffigan: Cinco,7.1,2194
Joshua: Teenager vs. Superpower,7.1,1392
Kaabil,7.1,25326
Kabir Singh,7.1,28517
Kahlil Gibran's The Prophet,7.1,4532
Karthik Calling Karthik,7.1,11237
Kill the Irishman,7.1,47100
Krisha,7.1,8378
Kung Fu Panda: Secrets of the Scroll,7.1,1904
Look Who's Back,7.1,43158
Loudon Wainwright III: Surviving Twin,7.1,89
Love Alarm,7.1,3830
"LSD: Love, Sex Aur Dhokha",7.1,5450
Lucha: Playing the Impossible,7.1,63
Maharakshak Devi,7.1,20
Michelle Buteau: Welcome to Buteaupia,7.1,450
My Secret Romance,7.1,2383
Namastey London,7.1,21153
Now More Than Ever: The History of Chicago,7.1,619
Nowhere Boy,7.1,35828
Okko's Inn,7.1,1623
On My Block,7.1,18
Peter and the Farm,7.1,720
Phir Hera Pheri,7.1,20167
Pieces of a Woman,7.1,42102
Restless Creature: Wendy Whelan,7.1,363
Rize,7.1,3191
Rooting for Roona,7.1,344
Saath Saath,7.1,277
Seeing Allred,7.1,1171
Shootout at Lokhandwala,7.1,9753
Snowpiercer,7.1,336603
Soni,7.1,2606
Spirit Riding Free: Riding Academy,7.1,72
Starting Over Again,7.1,520
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,7.1,2335
Stolen Away,7.1,2013
Tahaan,7.1,895
The Age of Shadows,7.1,9107
The Carter Effect,7.1,2339
The Danish Girl,7.1,171616
The Hater,7.1,13202
The Incredibles 2,7.1,42
The Land of the Enlightened,7.1,595
The Magic Pill,7.1,2114
The Milk System,7.1,484
The Muppets,7.1,89392
The Princess and the Frog,7.1,130619
The Real Miyagi,7.1,943
The Remix: Hip Hop X Fashion,7.1,82
The Spectacular Now,7.1,147484
The Time Traveler's Wife,7.1,144556
The Unknown Known,7.1,4047
Time Please,7.1,309
Treehouse Detectives,7.1,58
Tremors,7.1,127183
Trotsky,7.1,1918
True: Wuzzle Wegg Day,7.1,12
Tune in for Love,7.1,2849
Turn Up Charlie,7.1,6738
Very Big Shot,7.1,1350
Vir Das: Losing It,7.1,1148
Wazir,7.1,18079
We Are Young. We Are Strong.,7.1,2111
What We Started,7.1,1786
You Carry Me,7.1,1613
300 Miles to Heaven,7.2,960
Ainsley Eats the Streets,7.2,72
Alexis Viera: A Story of Surviving,7.2,42
American Murder: The Family Next Door,7.2,22552
An Egyptian Story,7.2,1046
Anthony Jeselnik: Fire in the Maternity Ward,7.2,3169
Audrie & Daisy,7.2,6256
Baby Dolls,7.2,558
Bangkok Traffic (Love) Story,7.2,1779
Berlin Calling,7.2,14004
BNA,7.2,1921
BNK48: Girls Don't Cry,7.2,609
Can't Help Falling in Love,7.2,835
Chasing Amy,7.2,134553
Chelsea Does,7.2,2410
Chronicle of an Escape,7.2,3513
Colin Quinn: Unconstitutional,7.2,441
Crazy Beautiful You,7.2,792
Criminal: France,7.2,3592
Cutie and the Boxer,7.2,4567
Demetri Martin: The Overthinker,7.2,1560
Dilan 1990,7.2,3092
Dirty John,7.2,18197
E-Cigarettes: Miracle or Menace?,7.2,37
Everything About Her,7.2,307
Evvarikee Cheppoddu,7.2,364
Fall in Love with Me,7.2,306
First They Killed My Father,7.2,16941
Forever Chape,7.2,299
Gad Elmaleh: American Dream,7.2,950
GoldenEye,7.2,244074
Gosford Park,7.2,83003
Grease,7.2,251022
Greg Davies: You Magnificent Beast,7.2,1978
Halkaa,7.2,395
Hostiles,7.2,76646
I Am Sun Mu,7.2,201
Inhuman Resources,7.2,3364
Iyore,7.2,20
Jhankaar Beats,7.2,1999
Jim Jefferies: Intolerant,7.2,2409
Jimmy Carr: Funny Business,7.2,3701
Jo Koy: Live from Seattle,7.2,1226
Just Another Love Story,7.2,4750
Kon-Tiki,7.2,47242
LA Originals,7.2,1651
Late Life: The Chien-Ming Wang Story,7.2,389
Lee Daniels' The Butler,7.2,111273
Living with Yourself,7.2,27222
Lorai: Play to Live,7.2,140
Love Per Square Foot,7.2,7764
"Love, Rosie",7.2,128264
Marc Maron: Too Real,7.2,1793
Marlon,7.2,5
MegaTruckers,7.2,44
Memoir of a Murderer,7.2,7445
Michael McIntyre: Showman,7.2,972
Michelle Wolf: Joke Show,7.2,1413
Mukhsin,7.2,359
My Stupid Boss,7.2,1409
Nathicharami,7.2,274
Ninja Hattori,7.2,824
No One Killed Jessica,7.2,11361
OCTB,7.2,163
Patton Oswalt: Annihilation,7.2,2247
Pine Gap,7.2,4216
Power Rangers Super Samurai,7.2,28
Raising Victor Vargas,7.2,5419
"Ray Romano: Right Here, Around the Corner",7.2,1554
Satte Pe Satta,7.2,3205
Saudi Arabia Uncovered,7.2,352
Secrets of the Tower of London,7.2,294
Shaitan,7.2,8254
Si Doel the Movie,7.2,400
Stink!,7.2,268
Strictly Ballroom,7.2,25930
The American Barbecue Showdown,7.2,963
The Boys in the Band: Something Personal,7.2,268
The Business of Drugs,7.2,1479
The Croods,7.2,200632
The Dark Crystal,7.2,63778
The Defected,7.2,50
The Edge of Democracy,7.2,13847
The Forty-Year-Old Version,7.2,4384
The History of Future Folk,7.2,2873
The Irregular at Magic High School,7.2,2717
The Matrix Reloaded,7.2,531827
The Old Guard,7.2,24
The Perfect Dictatorship,7.2,4934
The Physician,7.2,37603
The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,7.2,1065
The Underwear,7.2,7
The Witch: Part 1 - The Subversion,7.2,7872
The Witcher: A Look Inside the Episodes,7.2,69
Tinker Bell and the Legend of the NeverBeast,7.2,8010
Trailer Park Boys: The Movie,7.2,12473
Uriyadi 2,7.2,799
Wanda Sykes: Not Normal,7.2,1664
Water & Power: A California Heist,7.2,279
What Did I Mess,7.2,637
When Heroes Fly,7.2,2678
World's Most Wanted,7.2,2092
Zion,7.2,1112
20th Century Women,7.3,42229
45 rpm,7.3,429
A Murder in the Park,7.3,1144
A Walk to Remember,7.3,203607
Across the Universe,7.3,107768
Age of Tanks,7.3,714
Ala Vaikunthapurramuloo,7.3,10144
American Circumcision,7.3,561
American Odyssey,7.3,6019
Anjaan: Special Crimes Unit,7.3,294
Aruna & Her Palate,7.3,682
Aziz Ansari: Buried Alive,7.3,3791
Barça Dreams,7.3,994
Battle Creek,7.3,8382
Beauties of the Night,7.3,540
Bhool Bhulaiyaa,7.3,23231
Bill Burr: Walk Your Way Out,7.3,6657
Black Money Love,7.3,5325
Blue Jasmine,7.3,195869
Blue Valentine,7.3,189366
Brick,7.3,103179
Bridgerton,7.3,84379
Chittagong,7.3,1597
Christopher Robin,7.3,39
Cinderella and the Four Knights,7.3,3020
Coach Carter,7.3,134409
Crazyhead,7.3,4655
Cricket Fever: Mumbai Indians,7.3,651
Dolemite Is My Name,7.3,56753
Dolly Parton: Here I Am,7.3,1218
Escaping Tel Aviv,7.3,5353
Extremis,7.3,2253
Father Soldier Son,7.3,844
Five Elements Ninjas,7.3,2745
Four Sisters and a Wedding,7.3,716
Genius of the Ancient World,7.3,578
Get Me Roger Stone,7.3,7059
GLOW: The Story of the Gorgeous Ladies of Wrestling,7.3,1582
God Knows Where I Am,7.3,825
Harry Benson: Shoot First,7.3,398
Hustle & Flow,7.3,39446
I Called Him Morgan,7.3,1659
I Hear You,7.3,459
Indian Horse,7.3,1728
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,7.3,1765
John & Jane,7.3,438
"Kalel, 15",7.3,207
Khotey Sikkey,7.3,123
Layer Cake,7.3,171478
Lion Pride,7.3,38
Maine Pyar Kiya,7.3,11644
Marc Maron: Thinky Pain,7.3,1812
Maza Pati Karodpati,7.3,77
Mortified Nation,7.3,994
My Little Pony Equestria Girls: Forgotten Friendship,7.3,551
Namak Halaal,7.3,2473
Next in Fashion,7.3,3129
"Norm Macdonald: Hitler's Dog, Gossip & Trickery",7.3,2316
Okja,7.3,111317
Pee Mak,7.3,5211
Petta,7.3,8970
Power Rangers in Space,7.3,3007
Quiet Victory: The Charlie Wedemeyer Story,7.3,132
Raat Akeli Hai,7.3,16363
Record of Youth,7.3,1657
ReMastered: Massacre at the Stadium,7.3,682
ReMastered: The Two Killings of Sam Cooke,7.3,2058
Retablo,7.3,1535
Revolutionary Road,7.3,203279
Rocky II,7.3,197701
Rounders,7.3,145157
Ryan Hamilton: Happy Face,7.3,856
Sam Kinison: Breaking the Rules,7.3,619
Shaurya: It Takes Courage to Make Right... Right,7.3,4084
She's Dating the Gangster,7.3,994
Shot Caller,7.3,77249
Sky Ladder: The Art of Cai Guo-Qiang,7.3,1333
Snowden,7.3,143906
Somewhere Only We Know,7.3,127
Space Racers,7.3,76
Spenser Confidential,7.3,65
Stars in the Sky: A Hunting Story,7.3,266
Strongest Deliveryman,7.3,462
Sugar High,7.3,136
Sustainable,7.3,560
Tarzan,7.3,210819
Team Foxcatcher,7.3,5861
The Accountant of Auschwitz,7.3,2722
The Ballad of Buster Scruggs,7.3,131047
The Cakemaker,7.3,4372
The Crying Game,7.3,52905
The Damned Rain,7.3,239
The Death of Stalin,7.3,93205
The Edge of Seventeen,7.3,110805
The Epic Tales of Captain Underpants in Space,7.3,72
The Fundamentals of Caring,7.3,65628
The Great Heist,7.3,2236
The Hollywood Masters,7.3,78
The Hows of Us,7.3,2605
The Place Beyond the Pines,7.3,254215
The Ryan White Story,7.3,808
The Short Game,7.3,1444
The Squid and the Whale,7.3,80740
To Be of Service,7.3,76
Tom Segura: Ball Hog,7.3,2398
Trevor Noah: Son of Patricia,7.3,3694
Trixie Mattel: Moving Parts,7.3,1692
Tukaram,7.3,257
Union Leader,7.3,1404
Walk Away from Love,7.3,84
"Whose Vote Counts, Explained",7.3,952
Your Name Engraved Herein,7.3,4399
"Yours Sincerely, Kanan Gill",7.3,837
Zach Galifianakis: Live at the Purple Onion,7.3,3725
12 Years Promise,7.4,171
A Bridge Too Far,7.4,54036
A Love So Beautiful,7.4,530
Al Hayba,7.4,993
Ali Wong: Hard Knock Wife,7.4,4221
Amandla! A Revolution in Four Part Harmony,7.4,584
American Factory,7.4,19499
Apaharan,7.4,4478
Argon,7.4,226
Asees,7.4,201
Basketball or Nothing,7.4,530
Ben & Holly's Little Kingdom,7.4,1075
Bert Kreischer: Secret Time,7.4,2117
Bleach the Movie: Hell Verse,7.4,2261
Capital in the Twenty-First Century,7.4,2280
Carlos Almaraz: Playing with Fire,7.4,48
Carrie,7.4,173897
Cheer Squad,7.4,153
Cloud Atlas,7.4,350286
Da Kath & Kim Code,7.4,832
De Palma,7.4,5227
Demetri Martin: Live (At the Time),7.4,2044
Dhamaal,7.4,14261
Divines,7.4,9269
Do Do Sol Sol La La Sol,7.4,1058
Donald Glover: Weirdo,7.4,3260
Dream/Killer,7.4,1634
Eddie - Strongman,7.4,1093
Equilibrium,7.4,317010
Eugenie Nights,7.4,279
Even the Rain,7.4,13102
Fire in Paradise,7.4,756
From One Second to the Next,7.4,1221
Ghadi,7.4,1055
Girls und Panzer der Film,7.4,658
Golmaal: Fun Unlimited,7.4,15851
Gour Hari Dastaan: The Freedom File,7.4,549
"Hello, Love, Goodbye",7.4,926
Here to Heart,7.4,175
Holding the Man,7.4,11764
Howards End,7.4,30308
Immigration Nation,7.4,1011
Ink Master,7.4,3445
Joe Rogan: Strange Times,7.4,3947
Kaminey,7.4,16799
Kevin Hart: Laugh at My Pain,7.4,5927
Killer Inside: The Mind of Aaron Hernandez,7.4,14886
La Mante,7.4,12254
Lola Igna,7.4,155
Losing Sight of Shore,7.4,625
Love & Anarchy,7.4,6830
Love Jones,7.4,4358
Manto,7.4,3998
Miles Davis: Birth of the Cool,7.4,3048
Miss Americana,7.4,17280
Mo Amer: The Vagabond,7.4,623
Mudbound,7.4,45407
Murphy's Law of Love,7.4,241
My Mother's Wound,7.4,3326
Once Upon a Time in Mumbaai,7.4,16880
Palm Trees in the Snow,7.4,11340
Period. End of Sentence.,7.4,5648
Pimpal,7.4,161
Playing for Time,7.4,2642
Rab Se Sohna Isshq,7.4,27
Russell Howard: Recalibrate,7.4,1385
Saawan,7.4,209
Sad Hill Unearthed,7.4,1461
Searching for Bobby Fischer,7.4,38802
Selection Day,7.4,2020
Shawn Mendes: Live in Concert,7.4,234
Shirkers,7.4,4739
Socha Na Tha,7.4,7540
Song Exploder,7.4,646
Sons of Ben,7.4,105
Starred Up,7.4,44572
Sweet Magnolias,7.4,10182
Taylor Tomlinson: Quarter-Life Crisis,7.4,2634
The Aerial,7.4,4149
The Big Flower Fight,7.4,975
The Black Godfather,7.4,1210
The Blue Umbrella,7.4,1986
The Bucket List,7.4,236235
The Golden Years with Javed Akhtar,7.4,17
The Guernsey Literary and Potato Peel Pie Society,7.4,39839
The Haunting of Bly Manor,7.4,78224
The Irishman: In Conversation,7.4,1738
The Letter for the King,7.4,11
The Speed Cubers,7.4,2925
The Talented Mr. Ripley,7.4,191712
The Victims' Game,7.4,1111
Three Words to Forever,7.4,87
Tientsin Mystic,7.4,225
Trailer Park Boys: Countdown to Liquor Day,7.4,7254
Tyke Elephant Outlaw,7.4,639
Vampire Knight,7.4,4778
What the Health,7.4,28185
Who Killed Little Gregory?,7.4,2532
Who's the One,7.4,21
World's Busiest Cities,7.4,110
Yuva,7.4,8660
100 Meters,7.5,5873
A Good Wife,7.5,28
All Hail King Julien: Exiled,7.5,481
Amar Akbar Anthony,7.5,7437
Back of the Net,7.5,67
Beyond Stranger Things,7.5,1823
Blood of Zeus,7.5,14371
Camp X,7.5,82
Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,7.5,1728
Democrats,7.5,351
Dick Johnson Is Dead,7.5,5495
Do Dooni Chaar,7.5,5305
Dramaworld,7.5,1673
Ek Hasina Thi,7.5,7103
Feel Good,7.5,8067
Fishpeople,7.5,50
Franca: Chaos and Creation,7.5,690
Frances Ha,7.5,78237
Fruitvale Station,7.5,78105
Girls und Panzer,7.5,1066
Guzaarish,7.5,17853
Hymn of Death,7.5,840
Indiana Jones and the Temple of Doom,7.5,461669
Inside the Mossad,7.5,1060
Ip Man 2,7.5,100666
It's Bruno!,7.5,2678
Jackie Brown,7.5,327255
Jeff Dunham: Controlled Chaos,7.5,2215
Jeff Dunham's Very Special Christmas Special,7.5,2930
John Leguizamo's Latin History for Morons,7.5,613
Kantaro: The Sweet Tooth Salaryman,7.5,716
Kevin James: Sweat the Small Stuff,7.5,1055
Komola Rocket,7.5,903
Los Niños Héroes de Chapultepec,7.5,12
Mandi,7.5,775
Mango Dreams,7.5,410
Mighty Little Bheem: Diwali,7.5,35
Money Heist: The Phenomenon,7.5,2651
Ne Zha,7.5,6666
Night Stalker: The Hunt for a Serial Killer,7.5,20274
No Game No Life: Zero,7.5,3289
On Children,7.5,343
One Day We'll Talk About Today,7.5,975
Oscar's Oasis,7.5,519
Reversing Roe,7.5,1171
Rhyme Time Town,7.5,64
Satan & Adam,7.5,447
Save Our Shelter,7.5,36
Saving Mr. Banks,7.5,155667
Schulz Saves America,7.5,977
Scott Pilgrim vs. the World,7.5,397212
Secrets of Highclere Castle,7.5,229
Seth Meyers: Lobby Baby,7.5,2285
Station Horizon,7.5,57
Stay Here,7.5,1010
Stop at Nothing: The Lance Armstrong Story,7.5,2881
Surviving R. Kelly,7.5,4389
Taj Mahal 1989,7.5,1382
Taramani,7.5,1476
Terrace House: Tokyo 2019-2020,7.5,627
The Conjuring,7.5,467520
The Distinguished Citizen,7.5,10779
The Evil Dead,7.5,192919
The Good Detective,7.5,492
The House on Coco Road,7.5,42
The Natural,7.5,46059
