title,average Rating,num Votes
Sam Kinison: Live in Vegas,4.5,38
Sex and the City 2,4.5,76057
Something Huge,4.5,463
The Dukes of Hazzard: The Beginning,4.5,4886
The Next Karate Kid,4.5,28327
We Are One,4.5,83
23:59,4.6,915
14 Cameras,4.6,2667
After Maria,4.6,387
Beast Legends,4.6,63
"Berlin, I Love You",4.6,2841
Blue Jay,4.6,214
Code Name: The Cleaner,4.6,11508
Detention Letter,4.6,486
DJ Cinderella,4.6,877
Dragonheart: A New Beginning,4.6,4626
Finding Agnes,4.6,125
Jandino: Whatever it Takes,4.6,28
Last Flight to Abuja,4.6,329
Love Dot Com: The Social Experiment,4.6,103
Lugar de Mulher,4.6,29
Oddbods: Party Monsters,4.6,11
Rattlesnake,4.6,8037
Santo Cachón,4.6,44
Swearnet Live,4.6,499
The Beach Loafer,4.6,669
The First Temptation of Christ,4.6,3283
The Humanity Bureau,4.6,11114
The I-Land,4.6,15802
The Players,4.6,1384
The Unborn Child,4.6,262
The Witch Files,4.6,912
What's Your Raashee?,4.6,2662
A 2nd Chance,4.7,941
American Horror Story,4.7,15
Chal Mere Bhai,4.7,3194
El silencio es bienvenido,4.7,90
Fabulous Lives of Bollywood Wives,4.7,7179
Five Nights in Maine,4.7,807
Full Out 2: You Got This!,4.7,430
God's Not Dead,4.7,41471
Hello Brother,4.7,4078
Hickok,4.7,2878
Hoodwinked Too! Hood vs. Evil,4.7,12578
Insan,4.7,1321
Kaaliyan,4.7,9
Lechmi,4.7,45
Love Aaj Kal,4.7,8598
Lucky: No Time for Love,4.7,3519
Maniyarayile Ashokan,4.7,1112
Mater,4.7,241
Ms. Mammy,4.7,329
My Perfect Romance,4.7,2751
Romeo Ranjha,4.7,86
Sister Code,4.7,383
Sol Levante,4.7,439
Spectros,4.7,359
The Binding,4.7,3210
The Maus,4.7,5391
The Wedding Party 2: Destination Dubai,4.7,264
What Still Remains,4.7,1851
You Get Me,4.7,12166
1 Chance 2 Dance,4.8,551
Await Further Instructions,4.8,7879
Bibi & Tina,4.8,630
Bullitt County,4.8,523
Chicken Kokkachi,4.8,100
